city,state,lat,lng,countyName
DEER PARK,WI,45.1885,-92.3878,ST. CROIX
HUDSON,WI,44.9637,-92.7316,ST. CROIX
SAUK CITY,WI,43.2722,-89.7312,SAUK
WINNECONNE,WI,44.1112,-88.7114,WINNEBAGO
KEWAUNEE,WI,44.4607,-87.5133,KEWAUNEE
BOSCOBEL,WI,43.1435,-90.6951,GRANT
CRIVITZ,WI,45.2337,-88.0067,MARINETTE
LYNDON STATION,WI,43.7088,-89.8937,JUNEAU
AMBERG,WI,45.5062,-87.9874,MARINETTE
HOLCOMBE,WI,45.2261,-91.1217,CHIPPEWA
SPARTA,WI,43.9378,-90.8131,MONROE
DODGEVILLE,WI,42.966,-90.1297,IOWA
MARSHALL,WI,43.1726,-89.0614,DANE
BRISTOL,WI,42.5378,-88.0149,KENOSHA
MENOMONIE,WI,44.8893,-91.9084,DUNN
BUTLER,WI,43.1085,-88.0713,WAUKESHA
LAKE GENEVA,WI,42.5824,-88.4281,WALWORTH
MOSINEE,WI,44.7874,-89.6839,MARATHON
UNION GROVE,WI,42.6863,-88.0495,RACINE
LANNON,WI,43.1522,-88.1604,WAUKESHA
MOUNTAIN,WI,45.1864,-88.4681,OCONTO
WHITE LAKE,WI,45.1617,-88.7704,LANGLADE
FRANCIS CREEK,WI,44.2005,-87.7208,MANITOWOC
OOSTBURG,WI,43.6237,-87.7889,SHEBOYGAN
LITTLE CHUTE,WI,44.2905,-88.3206,OUTAGAMIE
MONTICELLO,WI,42.7456,-89.5899,GREEN
BLANCHARDVILLE,WI,42.8095,-89.8606,LAFAYETTE
BEAVER DAM,WI,43.469,-88.8308,DODGE
FRIENDSHIP,WI,43.972,-89.8202,ADAMS
SUPERIOR,WI,46.6941,-92.0823,DOUGLAS
NEW HOLSTEIN,WI,43.9491,-88.0942,CALUMET
WALWORTH,WI,42.5305,-88.5941,WALWORTH
DRESSER,WI,45.3617,-92.6344,POLK
LYNXVILLE,WI,43.2493,-91.0464,CRAWFORD
HOLMEN,WI,43.9699,-91.2661,LA CROSSE
GREENDALE,WI,42.9371,-88.0018,MILWAUKEE
NEILLSVILLE,WI,44.5605,-90.5905,CLARK
ELLSWORTH,WI,44.7364,-92.4806,PIERCE
MAUSTON,WI,43.7995,-90.0775,JUNEAU
NEW RICHMOND,WI,45.1249,-92.5377,ST. CROIX
SPENCER,WI,44.7544,-90.2983,MARATHON
OGDENSBURG,WI,44.4535,-89.0316,WAUPACA
SULLIVAN,WI,43.0118,-88.5903,JEFFERSON
MINONG,WI,46.0978,-91.8263,WASHBURN
GRAND MARSH,WI,43.8852,-89.7072,ADAMS
PORT WASHINGTON,WI,43.3847,-87.8852,OZAUKEE
VERONA,WI,42.9893,-89.5383,DANE
BARRON,WI,45.4015,-91.8476,BARRON
WINTER,WI,45.8221,-91.013,SAWYER
HARTFORD,WI,43.3223,-88.3782,WASHINGTON
EDEN,WI,43.6928,-88.3642,FOND DU LAC
CAMP DOUGLAS,WI,43.9197,-90.2697,JUNEAU
CAMPBELLSPORT,WI,43.5975,-88.2814,FOND DU LAC
WITTENBERG,WI,44.8269,-89.1664,SHAWANO
DOUSMAN,WI,43.0088,-88.476,WAUKESHA
LINDEN,WI,42.9186,-90.2742,IOWA
PALMYRA,WI,42.881100000000004,-88.6,JEFFERSON
WAUPACA,WI,44.3506,-89.0719,WAUPACA
GREEN LAKE,WI,43.8441,-88.956,GREEN LAKE
KESHENA,WI,44.8697,-88.6002,MENOMINEE
PHILLIPS,WI,45.6958,-90.4018,PRICE
PLATTEVILLE,WI,42.728,-90.4676,GRANT
CADOTT,WI,44.9502,-91.1532,CHIPPEWA
CLEVELAND,WI,43.9177,-87.7469,MANITOWOC
KIEL,WI,43.9167,-88.0266,MANITOWOC
LAKE MILLS,WI,43.0776,-88.9054,JEFFERSON
EAGLE,WI,42.879,-88.4697,WAUKESHA
BAGLEY,WI,42.9015,-91.0971,GRANT
SEYMOUR,WI,44.5142,-88.3271,OUTAGAMIE
MONTREAL,WI,46.4312,-90.2382,IRON
EDGERTON,WI,42.8385,-89.0699,ROCK
DOYLESTOWN,WI,43.4276,-89.1457,COLUMBIA
SISTER BAY,WI,45.1835,-87.1271,DOOR
TIGERTON,WI,44.7409,-89.0459,SHAWANO
